Sale?,Name,"Prices, Shipping, and Deals"
,"CORSAIR Hydro X Series XG7 RGB 20-SERIES GPU Water Block (2080 Ti FE), CX-9020005-WW",$126.99 (2 Offers)–Free Shipping
,"MSI GeForce RTX 2080 DUKE 8G OC Graphics Card, PCI-E x16, NVLink and VR Ready","$1,030.00 –Free Shipping"
,PNY GeForce RTX 2080 Ti 11GB Blower Graphics Card,"$1,716.10 –$37.00 Shipping"
,"EVGA GeForce RTX 2080 SUPER XC ULTRA GAMING Video Card, 08G-P4-3183-KR, 8GB GDDR6, RGB LED, Metal Backplate","$1,479.99 (2 Offers)–Free Shipping"
,"GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card, 3 x WINDFORCE Fans, 11GB 352-Bit GDDR6, GV-N208TGAMING OC-11GC Video Card","$1,926.90 –Free Shipping"
,"GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SWF3OC-8GD Video Card","$1,047.99 –$99.99 Shipping"
,"ZOTAC GAMING GeForce RTX 2080 Ti Twin Fan 11GB GDDR6 352-bit Gaming Graphics Card, Active Fan Control, Metal Backplate, Spectra Lighting - ZT-T20810G-10P","$1,799.00 –Free Shipping"
,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Ventus XS OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"$1,144.49 (3 Offers)–Free Shipping"
,"ZOTAC GAMING GeForce RTX 2080 Ti AMP MAXX 11GB GDDR6 352-bit Gaming Graphics Card, IceStorm 2.0, Factory Overclock, Freeze Fan Stop, Active Fan Control, PowerBoost, Spectra Lighting, ZT-T20810H-10P","$1,799.00 –Free Shipping"
,"GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card, 3 x WINDFORCE Fans, 11GB 352-Bit GDDR6, GV-N208TGAMING OC-11GC Video Card","$1,679.99 –$99.99 Shipping"
,Gigabyte GeForce RTX 2080 Ti Turbo 11GB GDDR6 Graphics Card (GV-N208TAORUS T-11GC),"$1,969.90 –Free Shipping"
,Colorful iGame GeForce RTX 2080 Ti Advanced 1350(Bst:1545)/11G Computer Graphics Card GDDR6 11G with HDMI USB Type-C DisplayPort Video Card,"$1,624.88 (3 Offers)–Free Shipping"
,"EVGA GeForce RTX 2080 SUPER XC HYBRID GAMING, 08G-P4-3188-KR, 8GB GDDR6, RGB LED Logo, Metal Backplate","$1,449.99 (2 Offers)–Free Shipping"
,GIGABYTE AORUS GeForce RTX 2080 Ti DirectX 12 GV-N208TIXEB-11GC 11GB 256-Bit GDDR6 PCI Express 3.0 x4 SLI Support ATX Gaming Box,"$2,272.90 –Free Shipping"
,"EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING, 11G-P4-2487-KR, 11GB GDDR6, iCX2 & RGB LED","$1,850.00 –Free Shipping"
,"GIGABYTE GeForce RTX 2080 Super GAMING OC 8G (Rev 2.0) Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SGAMING OC-8GC Video Card","$1,047.99 –$99.99 Shipping"
,"GIGABYTE GeForce RTX 2080 SUPER GAMING OC WATERFORCE WB 8G Graphics Card, Water Block Cooling System, 8GB 256-Bit GDDR6, GV-N208SGAMINGOC WB-8GD Video Card","$1,358.99 –$99.99 Shipping"
,MSI GeForce RTX 2080 Ti 11G DUKE Dark Dragon 1665MHz Cooler Computer Game Gaming Video Card,"$1,799.00 (2 Offers)–Free Shipping"
,ASUS GeForce RTX 2080 SUPER ROG Strix Gaming 8 GB GDDR6 Graphics Card (90YV0DH0-M0NM00),"$1,357.96 –$55.00 Shipping"
,ASUS RTX 2080 Ti Dual OC 11GB GDDR6 Graphics Card (90YV0C41-M0NM00),"$1,799.00 (2 Offers)–Free Shipping"
SALE,"GIGABYTE GeForce RTX 2080 SUPER GAMING OC WATERFORCE WB 8G Graphics Card, Water Block Cooling System, 8GB 256-Bit GDDR6, GV-N208SGAMINGOC WB-8GD Video Card","$1,529.99 –Sale Ends in 6 Days (Sat) - Free Shipping"
SALE,GIGABYTE GeForce RTX 2080 Ti TURBO OC DirectX 12 GV-N208TTURBO OC-11GC V2 11GB 352-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,999.99 –Sale Ends in 6 Days (Sat) - Free Shipping"
,MSI G208S-GXT VCX GeForce RTX 2080 Super Gaming X TRIO 8G GDDR6 256B HDMI 3xDP Graphics Card,$999.99 (2 Offers)–Free Shipping
SALE,ASUS Turbo GeForce RTX 2080 SUPER TURBO-RTX2080S-8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,299.99 –Sale Ends in 2 Hours - $45.00 Shipping"
,"EVGA GeForce RTX 2080 Ti XC Ultra Gaming, 11GB GDDR6, Dual HDB Fans & RGB LED Graphics Card 11G-P4-2383-KR","$1,799.00 –Free Shipping"
,GIGABYTE GeForce RTX 2080 Ti DirectX 12 GV-N208TTURBO OC-11GC V2 11GB 352-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$2,036.89 (2 Offers)–Free Shipping"
,"ASUS DUAL-RTX2080S-O8G-EVO-V2 - OC Edition - graphics card - GF RTX 2080 SUPER - 8 GB GDDR6 - PCIe 3.0 x16 - HDMI, 3 x D","$1,092.26 –$49.00 Shipping"
,"Phanteks Glacier Dual Evo for ASUS RTX 2080/2070/2060 SUPER Dual EVO Series, Nickel-Plated, Acrylic, Aluminum Cover Plate, Digital RGB, Full Water Block - Chrome",$149.99 –Free Shipping
,"Phanteks PH-GB2080TiFE for RTX 2080 Ti and 2080 Founders Edition, Nickel-Plated Copper Base, Aluminum Cover, Acrylic cover, Digital RGB Lighting, Full Water Block, Satin Black Edition.",$149.99 –Free Shipping
SALE,ASUS GeForce RTX 2080 SUPER ROG Strix Gaming 8 GB GDDR6 Graphics Card (ROG-STRIX-RTX2080S-O8G-GAMING),"$1,299.99 –Sale Ends in 2 Hours - $135.00 Shipping"
,Colorful iGame GeForce RTX 2080 SUPER Vulcan 1650-1815MHz GDDR6 Graphics Card 256Bit  8Pin Video Adapter,"$1,244.95 (2 Offers)–Free Shipping"
SALE,Colorful iGame GeForce RTX 2080 SUPER Vulcan X OC 1815-1860MHz GDDR6 8G Graphics Card 256Bit 1650(Bst:1860)/1650(Bst:1815)MHz 8Pin Video Card,"$1,199.99 (2 Offers)–Sale Ends in 2 Hours - $45.00 Shipping"
,PNY GeForce RTX 2080 SUPER XLR8 Gaming OC 3F 8 GB GDDR6 Graphics Card (VCG20808STFMPB-O),"$1,128.56 –$25.00 Shipping"
,FTW3 GAMING NVIDIA GeForce RTX 2080 Ti 11GB GDDR6 PCI Express 3.0 Graphics Card - Black/Silver/Transparent,"$1,799.00 –Free Shipping"
,GIGABYTE GeForce RTX 2080 SUPER DirectX 12 GV-N208SGAMINGOC WB-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,142.90 (4 Offers)–Free Shipping"
SALE,"Skytech Chronos Mini Gaming Computer PC Desktop - Ryzen 7 3700X 3.6 GHz, RTX 2080 Super 8 GB, 1 TB SSD, 16 GB DDR4 3000 MHz, Stock RGB Heatsink, Windows 10 Home 64-bit, 802.11ac Wi-Fi, 600W White PSU","$1,899.99 $1,499.99 –Sale Ends in 2 Hours - Save: 21%Free Shipping"
,"CORSAIR Hydro X Series XG7 RGB 20-SERIES GPU Water Block (2080 FE Rev.B), CX-9020009-WW",$149.99 –Free Shipping
,NVIDIA GeForce RTX 2080 Ti Founders Edition 11GB GDDR6 PCI Express 3.0 Graphics Card with Free Forza Horizon 4 Combo,"$2,059.99 –Free Shipping"
,"MSI Laptop Creator 17 A10SGS-252 Intel Core i7 10th Gen 10875H (2.30 GHz) 32 GB Memory 2 TB NVMe SSD NVIDIA GeForce RTX 2080 Super Max-Q 17.3"" 4K/UHD Mini LED Display Windows 10 Pro 64-bit","$3,599.00 $3,449.00 (9 Offers)–Free Shipping"
,"EVGA GeForce RTX 2080 Ti XC Ultra Gaming, 11GB GDDR6, Dual HDB Fans & RGB LED Graphics Card 11G-P4-2383-KR","$1,799.00 –Free Shipping"
,GIGABYTE GeForce RTX 2080 SUPER DirectX 12 GV-N208SWF3-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,149.99 (2 Offers)–$99.99 Shipping"
,"EVGA GeForce RTX 2080 Ti XC Ultra Gaming, 11GB GDDR6, Dual HDB Fans & RGB LED Graphics Card 11G-P4-2383-KR","$1,799.00 –Free Shipping"
,"EVGA GeForce 11G-P4-2382-KR, RTX 2080 Ti XC GAMING, 11GB GDDR6, Dual HDB Fans & RGB LED Graphics Card","$2,880.79 –Free Shipping"
