Sale?,Name,"Prices, Shipping, and Deals"
,"EVGA 08G-P4-3173-KR GeForce RTX 2070 Super XC ultra gaming, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate","$1,320.79 –Free Shipping"
,ASUS ROG-STRIX-RTX2070S-A8G-GAMING GeForce RTX 2070 SUPER DirectX 12 90YV0DI1-M0NA00 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$943.75 –$43.00 Shipping
,EVGA GEFORCE RTX 2070 SUPER XC HYBRID GAMING 8GB GDDR6 PCI Express 3.0 1800 MHz,$999.99 –Special Shipping
,"CLX SET Gaming PC - Intel Core i7 9700KF 3.6GHz 8-Core, 32GB DDR4 3000, GeForce RTX 2070 Super 8GB, 480GB SSD + 4TB HDD,  Black Mini-Tower RGB,  Windows 10 Home","$2,013.99 (2 Offers)–Free Shipping"
,"MSI Laptop CREATOR17254 Intel Core i7 10th Gen 10875H (2.30 GHz) 32 GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 2070 SUPER Max-Q 17.3"" 4K/UHD Windows 10 Pro 64-bit","$3,008.99 (2 Offers)–Free Shipping"
,"CLX SET Gaming PC - Intel Core i7 9700KF 3.6GHz 8-Core, 16GB DDR4 3000, GeForce RTX 2070 Super 8GB, 480GB SSD + 3TB HDD,  Black Mini-Tower RGB,  Windows 10 Home","$1,811.99 (2 Offers)–Free Shipping"
,"CLX SET Gaming PC - AMD Ryzen 7 3800X 3.9GHz 8-Core, 32GB DDR4 3000, GeForce RTX 2070 SUPER 8GB, 480GB SSD + 4TB HDD, WiFi, Black Mini-Tower RGB,  Windows 10 Home","$1,911.99 (2 Offers)–Free Shipping"
,"CLX SET Gaming PC -  AMD Ryzen 5 3600X 3.8GHz 6-Core,  16GB DDR4 2666, GeForce RTX 2070 Super 8GB, 480GB SSD + 2TB HDD, WiFi,  Black Mini-Tower RGB,  Windows 10 Home","$1,552.99 (2 Offers)–Free Shipping"
,"CLX SET Gaming PC - AMD Ryzen 7 3700X 3.6GHz 8-Core, 16GB DDR4 3000, GeForce RTX 2070 SUPER 8GB, 480GB SSD + 3TB HDD, WiFi, Black Mini-Tower RGB,  Windows 10 Home","$1,692.99 (2 Offers)–Free Shipping"
,"CLX SET Gaming PC - Intel Core i7 9700F 3.00GHz 8-Core, 16GB DDR4 2666, GeForce RTX 2070 Super 8GB, 480GB SSD + 2TB HDD,  Black Mini-Tower RGB,  Windows 10 Home","$1,682.99 –Free Shipping"
,"CLX SET Gaming PC - AMD Ryzen 7 3800X 3.9GHz 8-Core, 16GB DDR4 3000, GeForce RTX 2070 SUPER 8GB, 480GB SSD + 3TB HDD, WiFi, Black Mini-Tower RGB,  Windows 10 Home","$1,742.99 (2 Offers)–Free Shipping"
,"CLX SET Gaming PC - Intel Core i7 9700KF 3.6GHz 8-Core, 16GB DDR4 3000, GeForce RTX 2080 Super 8GB, 480GB SSD + 3TB HDD,  Black Mini-Tower RGB,  Windows 10 Home","$2,092.99 (2 Offers)–Free Shipping"
,MSI Gaming GeForce RTX 2070 Super 8GB GDRR6 256-Bit HDMI/DP Nvlink Twin-Frozr Turing Architecture Overclocked Graphics Card (RTX 2070 Super Gaming X),"$1,164.16 –Free Shipping"
,3pcs/lot T129215SU 12V 0.5A 88mm For ASUS ROG STRIX-RTX 2070 2070S 2080 RTX2080 RTX 2080ti SUPER Graphics Card Cooling Fan,$200.00 –Free Shipping
,PLD09210S12HH 4Pin Graphics card fan RTX2080 RTX2070 For MSI GEFORCE RTX 2060 2070 2080 SUPER VENTUS Graphics Card Cooling Fans,$52.00 –Free Shipping
,MSI Gaming GeForce RTX 2070 Super 8GB GDRR6 256-bit HDMI/DP NVLink Torx Fan Turing Architecture Overclocked G-SYNC Graphics Card (RTX 2070 Super Ventus GP OC),$966.99 (2 Offers)–Free Shipping
,3pcs/lot T129215SU 12V 0.5A 88mm For ASUS ROG STRIX-RTX 2070 2070S 2080 RTX2080 RTX 2080ti SUPER Graphics Card Cooling Fan,$48.99 –Free Shipping
,ASUS GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition VR Ready HDMI DisplayPort Gaming Graphics Card (DUAL-RTX-2070S-O8G-EVO),"$1,301.48 –Free Shipping"
,"MSI Laptop Creator 15 A10SFS-014 Intel Core i7 10th Gen 10875H (2.30 GHz) 32 GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 2070 SUPER Max-Q 15.6"" 4K/UHD Windows 10 Pro 64-bit","$2,599.00 (9 Offers)–Free Shipping"
,"HIDevolution MSI GS75 Stealth 10SFS 17.3” FHD 300Hz | 2.4 GHz i9-10980HK, RTX 2070 Super Max-Q, 32 GB 2666MHz RAM, 1 TB PCIe SSD | Authorized Performance Upgrades & Warranty","$2,499.00 –Free Shipping"
,"EKWB EK-Quantum Vector Dual Evo RTX 2070/2080 GPU Water Block, D-RGB, Nickel/Plexi",$164.99 (2 Offers)–$4.49 Shipping
,Graphics Card Fan FDC10H12S9-C DC12V 0.35AMP for GAINWARD GeForce RTX 2070 8GB GDDR6 RTX 2060 SUPER Ghost RTX 2060 SUPER Phoenix,$59.50 –Free Shipping
,Adamant Custom 8-Core Liquid Cooled Gaming Desktop Computer Intel Core i9-9900K 3.6GHz Z390 Chipset 32Gb DDR4 RAM 4TB HDD 1TB NVMe SSD 600W WiFi Bluetooth Nvidia Geforce RTX 2070 8Gb SUPER,"$2,539.99 –Free Shipping"
,"HIDevolution Alienware M17 R3 17.3” FHD 300Hz | White | 2.4 GHz i9-10980HK, RTX 2070 Super, 32GB 2666MHz RAM, 2 TB PCIe SSD | Performance Upgrades & Warranty","$3,585.00 (8 Offers)–Free Shipping"
,Bitspower 1S VGA Water Block for NVIDIA GeForce RTX 20 Series,$132.00 –$45.00 Shipping
,"HIDevolution MSI GS66 Stealth 10SFS 15.6"" FHD 300Hz | 2.4 GHz i9-10980HK, RTX 2070 Super Max-Q, 32 GB 2666MHz RAM, 1 TB PCIe SSD | Authorized Performance Upgrades & Warranty","$2,549.00See price in cart Free Shipping"
,"HIDevolution MSI GS75 Stealth 10SFS 17.3” FHD 300Hz | 2.4 GHz i9-10980HK, RTX 2070 Super Max-Q, 32 GB 2666MHz RAM, 2 TB PCIe SSD | Authorized Performance Upgrades & Warranty","$2,959.00 –Free Shipping"
,"HIDevolution MSI GS75 Stealth 10SFS 17.3” FHD 300Hz | 2.4 GHz i9-10980HK, RTX 2070 Super Max-Q, 64 GB 2666MHz RAM, 2 TB PCIe SSD | Authorized Performance Upgrades & Warranty","$3,219.00 (27 Offers)–Free Shipping"
,"HIDevolution MSI GS66 Stealth 10SFS 15.6"" FHD 300Hz | 2.4 GHz i9-10980HK, RTX 2070 Super Max-Q, 64 GB 2666MHz RAM, 4 TB PCIe SSD | Authorized Performance Upgrades & Warranty","$3,809.00See price in cart Free Shipping"
,Alienware Aurora R10 AMD Ryzen 7 3700X 3.6GHz - Nvidia GeForce RTX 2070 SUPER 8GB GDDR6 Graphics - 2TB 7200RPM + 240GB NVMe SSD - 32GB DDR4 SDRAM - 850W - Windows 10 Gaming Desktop Lunar Light,"$3,300.00 –Free Shipping"
,"CLX SET Gaming PC - AMD Ryzen 7 3800X 3.9GHz 8-Core, 16GB DDR4 3000, GeForce RTX 2070 SUPER 8GB, 480GB SSD + 3TB HDD, WiFi, Black Mini-Tower RGB,  Windows 10 Home","$1,729.99 –$17.95 Shipping"
,"CYBERPOWERPC Gamer Supreme Liquid Cool Gaming PC Desktop, Intel Core i7-9700K 3.6GHz, NVIDIA RTX 2070 Super 8GB Graphics, 16GB DDR4, 1TB PCI-E NVMe SSD, WiFi Ready & Win 10 Home (SLC8260A2, Black)","$2,203.53 –Free Shipping"
,Adamant Custom 10-Core Liquid Cooled Gaming Desktop Computer PC Intel Core i9 10900K 3.7Ghz ASUS TUF Z490 32Gb DDR4 512Gb NVMe SSD 4TB HDD WiFi Geforce RTX 2070 8Gb SUPER,"$2,739.99 (3 Offers)–Free Shipping"
,Adamant Custom 10-Core Liquid Cooled Gaming Desktop Computer Intel Core i9 10850K 3.6Ghz Z490 TUF 16Gb 3200Mhz DDR4 512Gb NVMe 1500MB/s SSD 2TB HDD 600W WiFi Bluetooth Geforce RTX 2070 8Gb SUPER,"$2,379.99 –Free Shipping"
,Adamant Custom 16-CoreLiquid Cooled Workstation Desktop Computer AMD Ryzen 9 3950X 3.5GHz 64Gb DDR4 512Gb NVMe 1500MB/s SSD 4TB HDD 600W WiFi Bluetooth Geforce RTX 2070 8Gb SUPER,"$3,199.99 –Free Shipping"
,Adamant Custom 8-Core Gaming Desktop Computer PC Intel Core i7 9700K 3.6Ghz 32Gb DDR4 RAM 4TB HDD 1TB NVMe SSD 550W PSU Wi-Fi Nvidia Geforce RTX 2070 8Gb Super,"$2,299.99 –Free Shipping"
,GIGABYTE GV-N207SWF3OC-8GD  GV-N207SWF3OC-8GD GeForce RTX 2070 SUPER WINDFORCE OC 3X 8G GDDR6 HDMI/3DisplayPort PCI-Express Video Card,$699.99 (2 Offers)–$99.99 Shipping
,"HIDevolution MSI GS75 Stealth 10SFS 17.3” FHD 300Hz | 2.6 GHz i7-10750H, RTX 2070 Super Max-Q, 32 GB 2666MHz RAM, 512 GB PCIe SSD | Authorized Performance Upgrades & Warranty","$2,199.00 –Free Shipping"
,"HIDevolution MSI GS75 Stealth 10SFS 17.3” FHD 300Hz | 2.6 GHz i7-10750H, RTX 2070 Super Max-Q, 32 GB 2666MHz RAM, 1 TB PCIe SSD | Authorized Performance Upgrades & Warranty","$2,304.00 –Free Shipping"
,"HIDevolution MSI GE75 Raider 10SFS 17.3"" FHD 300Hz | 2.3 GHz i7-10875H, RTX 2070 Super, 64 GB 3200MHz RAM, 4 TB PCIe SSD | Authorized Performance Upgrades & Warranty","$3,339.00See price in cart Free Shipping"
